parent_asin,title,main_category,price,store,categories,average_rating,rating_number,features,description,cb_text,image_url
B08LYT4Q2X,"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",All Beauty,16.99,Shiny Leaf,[],4.5,167,,,"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",https://m.media-amazon.com/images/I/51EnPDcnK4L._SS40_.jpg
B089CSF11Y,"Empty Brown Glass Spray Bottles2-Pack, Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist and Stream Settings",All Beauty,16.99,Cherry,[],3.7,53,,,"Empty Brown Glass Spray Bottles2-Pack, Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist and Stream Settings",https://m.media-amazon.com/images/I/41gYFHrqp2L._SS40_.jpg
B081ZN3TD5,JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,All Beauty,16.99,JPNK,[],4.1,58,,,JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,https://m.media-amazon.com/images/I/51k5fHmCzlL._SS40_.jpg
B08WHBSK6R,"Kidskin- Foaming Body Wash with Tea Tree Oil- Helps Combat Body and Foot Odor and Stubborn Body Acne and Skin Issues - Cruelty Free, Gluten Free, Paraben Free, Sulfate Free, Unscented, and Vegan- Made in USA",All Beauty,16.99,Kidskin,[],4.0,49,"KIDSKIN was created with a mission to provide pre teens and teens with GENTLE YET EFFECTIVE skincare and personal hygiene products. Kidskin’s products are created with ALL SKIN TYPES in mind, from sensitive to rosacea prone. Teens should feel both fresh and confident to tackle the day- every day. ACTIVE INGREDIENT TEA TREE OIL reduces redness calms irritation in problematic and compromised skin. REDUCES SWELLING in both body acne and bacterial/ fungal skin issues teens are commonly prone to. Allantoin and Bisabolol help soothe irritation by penetrating deep into the skin for long lasting hydration. 100% NATURAL skin soothing ingredients are safe for every day use to help combat body odor. PARABEN, SULFATE, FRAGRANCE, VEGAN, AND GLUTEN FREE. We’re striving every day to help parents by offering high quality skincare products for their kids. All of our products are paraben free, fragrance free, sulfate free, and cruelty free. DERMATOLOGIST AND PEDIATRICIAN RECOMMENDED- Made with care in the USA, the Kidskin Foaming Body Wash is recommended by dermatologists and pediatricians.","Kidskin Foaming Body Wash with Tea Tree Oil is designed exclusively for teens, tweens, pre teens, and boys and girls to work as an effective, yet gentle body wash. Natural ingredients like Allantoin and Bisabolol nourish beyond surface level, and penetrate into the lower levels of the skin for the deepest hydration possible, while active ingredient tea tree oil works to fight body acne and skin issues teens are commonly prone to. Unlike shower bars and other soaps, our products are designed to soothe problematic and compromised skin. With 100% Natural ingredients that are paraben, sulfate, fragrance, and gluten free, the Kidskin Foaming Body Wash with Tea Tree Oil is gentle enough for every day use. Our mission is to provide teens (like our own!) with a body wash that leaves them feeling fresh and confident so they can focus on what really matters- every day. Ingredients: Water (Aqua), Cocamidopropyl Betaine, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Musa Sapientum (Banana) Extract, Polysorbate-20, Sodium Lauroyl Sarcosinate, ^ Glycerin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sea Salt (Sodium Chloride), Tetrasodium EDTA, Citric Acid, Allantoin, Bisabolol","Kidskin- Foaming Body Wash with Tea Tree Oil- Helps Combat Body and Foot Odor and Stubborn Body Acne and Skin Issues - Cruelty Free, Gluten Free, Paraben Free, Sulfate Free, Unscented, and Vegan- Made in USA Kidskin Foaming Body Wash with Tea Tree Oil is designed exclusively for teens, tweens, pre teens, and boys and girls to work as an effective, yet gentle body wash. Natural ingredients like Allantoin and Bisabolol nourish beyond surface level, and penetrate into the lower levels of the skin for the deepest hydration possible, while active ingredient tea tree oil works to fight body acne and skin issues teens are commonly prone to. Unlike shower bars and other soaps, our products are designed to soothe problematic and compromised skin. With 100% Natural ingredients that are paraben, sulfate, fragrance, and gluten free, the Kidskin Foaming Body Wash with Tea Tree Oil is gentle enough for every day use. Our mission is to provide teens (like our own!) with a body wash that leaves them feeling fresh and confident so they can focus on what really matters- every day. Ingredients: Water (Aqua), Cocamidopropyl Betaine, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Musa Sapientum (Banana) Extract, Polysorbate-20, Sodium Lauroyl Sarcosinate, ^ Glycerin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sea Salt (Sodium Chloride), Tetrasodium EDTA, Citric Acid, Allantoin, Bisabolol KIDSKIN was created with a mission to provide pre teens and teens with GENTLE YET EFFECTIVE skincare and personal hygiene products. Kidskin’s products are created with ALL SKIN TYPES in mind, from sensitive to rosacea prone. Teens should feel both fresh and confident to tackle the day- every day. ACTIVE INGREDIENT TEA TREE OIL reduces redness calms irritation in problematic and compromised skin. REDUCES SWELLING in both body acne and bacterial/ fungal skin issues teens are commonly prone to. Allantoin and Bisabolol help soothe irritation by penetrating deep into the skin for long lasting hydration. 100% NATURAL skin soothing ingredients are safe for every day use to help combat body odor. PARABEN, SULFATE, FRAGRANCE, VEGAN, AND GLUTEN FREE. We’re striving every day to help parents by offering high quality skincare products for their kids. All of our products are paraben free, fragrance free, sulfate free, and cruelty free. DERMATOLOGIST AND PEDIATRICIAN RECOMMENDED- Made with care in the USA, the Kidskin Foaming Body Wash is recommended by dermatologists and pediatricians.",https://m.media-amazon.com/images/I/31oy2QnPa-L._SS40_.jpg
B0C5V83YMB,YouClean 300 Antibacterial Travel Hand Soap Sheets - Pocket/Purse/Wallet/Backpack -Great for Outdoor Camping or Daily Use (Tea Party) (Tea Party),All Beauty,13.87,YouClean,[],3.6,35,"PORTABLE TRAVEL SIZE -- Each YouClean collection has 3 tiny boxes (2 x 1 x 0.25 inches) (5 x 2.5 x 0.5 cm) which nicely fit in any purse/ wallet, handbag, pack-backs that come in handy everywhere and at any time. These portable soap sheets are small, light and zero-waste which makes them perfect for travel, hiking, camping, school trips and convenient at workplaces. FOAMING, MOITURIZING & NOURISHING SKIN -- YouClean hand soap sheet quickly dissolves to create a foaming lather. It is made with high quality, all-natural plant-based ingredients, nourish and moisturize your skin with flower/fruit essential oils. WONDERFUL AROMATHERAPY with ESSENTIAL OILS -- YouClean 8 scent collections will keep your wallet, handbag, pack backs, or pockets smell good all the time. We also have The Nonsense (unscented) which is suitable for professional working environments. EASY-TO-USE -- Take out a YouClean soap sheet with dry hands. Add water and rub hands to form a lather. Rinse, dry and enjoy your clean hands. It is suitable for all skin types and whole body. It can be used as shampoo or body wash, if needed. NO PLASTIC PACKAGING with 100% biodegradable paper packaging. We are fighting with the plastic waste by being part of the solution. GREEN EARTH IS OUR GOAL - KEEP YouClean IS YOUR MISSION!","Brand: YouClean Item Form: Sheet Formulation: Concentrated plant-based soap Scent: Tea Party (Chamomile, Green Tea, Tea Tree) Package Box Size: 2 x 1 x 1.5 inch www.shopyouclean.com We are changing our packaging. No more small plastic cases! Our new packaging is 100% biodegradable paper. All 300 sheets are tightly packed in 3 tiny paper boxes (100 sheets/box) which nicely fit in any purse/wallet, handbag, and kids' pack-backs. Check out our 9 scent collections: - Tea Party - Citrus Collection - Purple Heart - Pink Pamper - Red Passion - Blanca Elegance - Seaside Vacation - The Adventure - The Nonsense (unscented)","YouClean 300 Antibacterial Travel Hand Soap Sheets - Pocket/Purse/Wallet/Backpack -Great for Outdoor Camping or Daily Use (Tea Party) (Tea Party) Brand: YouClean Item Form: Sheet Formulation: Concentrated plant-based soap Scent: Tea Party (Chamomile, Green Tea, Tea Tree) Package Box Size: 2 x 1 x 1.5 inch www.shopyouclean.com We are changing our packaging. No more small plastic cases! Our new packaging is 100% biodegradable paper. All 300 sheets are tightly packed in 3 tiny paper boxes (100 sheets/box) which nicely fit in any purse/wallet, handbag, and kids' pack-backs. Check out our 9 scent collections: - Tea Party - Citrus Collection - Purple Heart - Pink Pamper - Red Passion - Blanca Elegance - Seaside Vacation - The Adventure - The Nonsense (unscented) PORTABLE TRAVEL SIZE -- Each YouClean collection has 3 tiny boxes (2 x 1 x 0.25 inches) (5 x 2.5 x 0.5 cm) which nicely fit in any purse/ wallet, handbag, pack-backs that come in handy everywhere and at any time. These portable soap sheets are small, light and zero-waste which makes them perfect for travel, hiking, camping, school trips and convenient at workplaces. FOAMING, MOITURIZING & NOURISHING SKIN -- YouClean hand soap sheet quickly dissolves to create a foaming lather. It is made with high quality, all-natural plant-based ingredients, nourish and moisturize your skin with flower/fruit essential oils. WONDERFUL AROMATHERAPY with ESSENTIAL OILS -- YouClean 8 scent collections will keep your wallet, handbag, pack backs, or pockets smell good all the time. We also have The Nonsense (unscented) which is suitable for professional working environments. EASY-TO-USE -- Take out a YouClean soap sheet with dry hands. Add water and rub hands to form a lather. Rinse, dry and enjoy your clean hands. It is suitable for all skin types and whole body. It can be used as shampoo or body wash, if needed. NO PLASTIC PACKAGING with 100% biodegradable paper packaging. We are fighting with the plastic waste by being part of the solution. GREEN EARTH IS OUR GOAL - KEEP YouClean IS YOUR MISSION!",https://m.media-amazon.com/images/I/51yyb7H-oAL._SS40_.jpg
B08WF29DM9,"TULA Probiotic Skin Care Supersize 24-7 Moisture Hydrating Day & Night Cream | Holiday 2020, Ageless is the New Anti-Aging, Face Cream, Contains Watermelon Fruit and Blueberry Extract | 3.4 oz",All Beauty,16.99,TULA,[],4.7,149,,,"TULA Probiotic Skin Care Supersize 24-7 Moisture Hydrating Day & Night Cream | Holiday 2020, Ageless is the New Anti-Aging, Face Cream, Contains Watermelon Fruit and Blueberry Extract | 3.4 oz",https://m.media-amazon.com/images/I/31YBvSrHx1S._SS40_.jpg
B08HMLXW65,"Claw Hair Clips, IKOCO 6 Pack Jaw Clips Stylish Matte Plastic Strong Hold Hair Clamps Box Packaged for Thin Fine Hair with 10Pcs Black Hair ties (2.4Inch)",All Beauty,16.99,IKOCO,[],4.4,122,,,"Claw Hair Clips, IKOCO 6 Pack Jaw Clips Stylish Matte Plastic Strong Hold Hair Clamps Box Packaged for Thin Fine Hair with 10Pcs Black Hair ties (2.4Inch)",https://m.media-amazon.com/images/I/51ifQCm6WjL._SS40_.jpg
B08BF4BKKM,"Facial Kit For Women - Includes Facial Mask, Facial Makeup Wipes, Nose Strips, Facial Cleansers, Facial- Self Care Package For Women (Multivitamin Facial Kit)",All Beauty,16.99,Golden Gift Box,[],4.5,26,,,"Facial Kit For Women - Includes Facial Mask, Facial Makeup Wipes, Nose Strips, Facial Cleansers, Facial- Self Care Package For Women (Multivitamin Facial Kit)",https://m.media-amazon.com/images/I/51L4Zn86bgL._SS40_.jpg
B0BDYXW42R,Satin Bridesmaid Scrunchies Bachelorette Hair Ties Set of 6 sunglasses Bridal Shower No Damage Hairties ideas Gift for Wedding Party Favors Bridesmaid Proposal Gifts (12pcs Sage Green),All Beauty,39.99,Loanzeg,[],4.6,96,"Good ideas Loanzeg Scrunchies bulk pack includes 12pcs hair Scrunchies and 12pcs sunglasses gifts for the bridesmaid.1pcs for you and 11pcs for your friend, Perfect as bachelorette party favors and bridesmaid gifts! High quality Hair elastic scrunchy with a diamond card""to have and to hold Your Hair Back"" Exquisite bronzing decorative cards is very cute! Bridesmaid hair ties make of satin fabric with good texture, durable, soft and stretchable enough Beautiful decoration that can be used easily.These can use as cute bracelets. Gift for the bride to be! Share these with your beautiful girls！All designs are for girls, perfect designs, make every girl's more beautiful!! It is suitable for many occasions, not only as a gift for bridesmaids and brides, but also as a daily gift, teachers' day, Valentine's Day, boudoir's day, mother's day, etc. It is widely used and is a gift choice that you will not regret.","Good ideas Loanzeg Scrunchies bulk pack includes 12pcs hair Scrunchies and 12pcs sunglasses gifts for the bridesmaid.1pcs for you and 11pcs for your friend, Perfect as bachelorette party favors and bridesmaid gifts! High quality Hair elastic scrunchy with a diamond card""to have and to hold Your Hair Back"" Exquisite bronzing decorative cards is very cute! Bridesmaid hair ties make of matte, twill satin fabric with good texture, durable, soft and stretchable enough Beautiful decoration that can be used easily.These can use as cute bracelets. Gift for the bride to be! Share these with your beautiful girls！All designs are for girls, perfect designs, make every girl's more beautiful!! It is suitable for many occasions, not only as a gift for bridesmaids and brides, but also as a daily gift, teachers' day, Valentine's Day, boudoir's day, mother's day, etc. It is widely used and is a gift choice that you will not regret.","Satin Bridesmaid Scrunchies Bachelorette Hair Ties Set of 6 sunglasses Bridal Shower No Damage Hairties ideas Gift for Wedding Party Favors Bridesmaid Proposal Gifts (12pcs Sage Green) Good ideas Loanzeg Scrunchies bulk pack includes 12pcs hair Scrunchies and 12pcs sunglasses gifts for the bridesmaid.1pcs for you and 11pcs for your friend, Perfect as bachelorette party favors and bridesmaid gifts! High quality Hair elastic scrunchy with a diamond card""to have and to hold Your Hair Back"" Exquisite bronzing decorative cards is very cute! Bridesmaid hair ties make of matte, twill satin fabric with good texture, durable, soft and stretchable enough Beautiful decoration that can be used easily.These can use as cute bracelets. Gift for the bride to be! Share these with your beautiful girls！All designs are for girls, perfect designs, make every girl's more beautiful!! It is suitable for many occasions, not only as a gift for bridesmaids and brides, but also as a daily gift, teachers' day, Valentine's Day, boudoir's day, mother's day, etc. It is widely used and is a gift choice that you will not regret. Good ideas Loanzeg Scrunchies bulk pack includes 12pcs hair Scrunchies and 12pcs sunglasses gifts for the bridesmaid.1pcs for you and 11pcs for your friend, Perfect as bachelorette party favors and bridesmaid gifts! High quality Hair elastic scrunchy with a diamond card""to have and to hold Your Hair Back"" Exquisite bronzing decorative cards is very cute! Bridesmaid hair ties make of satin fabric with good texture, durable, soft and stretchable enough Beautiful decoration that can be used easily.These can use as cute bracelets. Gift for the bride to be! Share these with your beautiful girls！All designs are for girls, perfect designs, make every girl's more beautiful!! It is suitable for many occasions, not only as a gift for bridesmaids and brides, but also as a daily gift, teachers' day, Valentine's Day, boudoir's day, mother's day, etc. It is widely used and is a gift choice that you will not regret.",https://m.media-amazon.com/images/I/51ei8mtoVpL._SS40_.jpg
B08PHS33D9,"Eggplant Clearing Cleansing Oil Pad 60 pads, Makeup remover pad. Exfoliating. Simple easy quick wipe. Moisturizing cleansing oil pad",All Beauty,16.99,PAPA RECIPE RIGHT FOR SKIN,[],4.4,37,,,"Eggplant Clearing Cleansing Oil Pad 60 pads, Makeup remover pad. Exfoliating. Simple easy quick wipe. Moisturizing cleansing oil pad",https://m.media-amazon.com/images/I/41NftZ8eyYL._SS40_.jpg
